Wall time,Step,Value
1733740718.1506314,0,0.4646182358264923
1733740974.0099301,1,0.6206347942352295
1733741228.1273398,2,0.7386123538017273
1733741482.377385,3,0.8120540380477905
1733741736.4081,4,0.8598749041557312
1733741990.4280841,5,0.8919298052787781
1733742244.9693294,6,0.9174460768699646
1733742498.699582,7,0.9366852641105652
1733742752.6578305,8,0.9458393454551697
1733743006.7763362,9,0.9548364877700806
1733743260.8154707,10,0.9607473611831665
1733743514.6185865,11,0.965329647064209
1733743768.2370853,12,0.9695457220077515
1733744022.4906054,13,0.9719623923301697
1733744276.2051318,14,0.9745674133300781
1733744530.6273932,15,0.9772769808769226
1733744785.2370245,16,0.9776327013969421
1733745040.0658762,17,0.9793798327445984
1733745294.4466114,18,0.9803214073181152
1733745549.118435,19,0.9812943339347839
1733745803.5573757,20,0.9820789694786072
1733746058.0536473,21,0.9835017919540405
1733746312.4651694,22,0.9839934706687927
1733746567.2539468,23,0.9844956398010254
1733746821.6666646,24,0.9850919842720032
1733747076.4333043,25,0.9854999780654907
1733747331.1698701,26,0.9856778383255005
1733747585.809515,27,0.9869123101234436
1733747840.0590575,28,0.9860649108886719
1733748094.5913537,29,0.9866612553596497
1733748349.1011198,30,0.9871006011962891
1733748603.8607278,31,0.9870692491531372
1733748858.5200837,32,0.9877492785453796
1733749113.3198495,33,0.9873307943344116
1733749367.8374379,34,0.9879270792007446
1733749622.4463158,35,0.9888686537742615
1733749876.922084,36,0.9892452955245972
1733750131.9628944,37,0.9892452955245972
1733750386.2683847,38,0.989098846912384
1733750641.0849323,39,0.9887431263923645
1733750895.538087,40,0.9895486831665039
1733751150.0640392,41,0.9894545078277588
1733751404.9021192,42,0.9894335865974426
1733751659.336511,43,0.9892452955245972
1733751913.8096263,44,0.9896219372749329
1733752168.2337477,45,0.9899775981903076
1733752422.67694,46,0.9901763796806335
1733752677.2455518,47,0.9897160530090332
1733752932.4065926,48,0.9905425310134888
1733753186.9202392,49,0.9893708229064941
1733753441.503244,50,0.9906157851219177
1733753696.1528518,51,0.9899462461471558
1733753954.1089423,52,0.9899462461471558
1733754216.4559174,53,0.9899671673774719
1733754482.6639974,54,0.9907936453819275
1733754751.4111571,55,0.9903437495231628
1733755008.8853385,56,0.9906052947044373
1733755263.442491,57,0.9904170036315918
1733755517.8952363,58,0.9906262159347534
1733755772.4079306,59,0.9908459186553955
1733756027.3996825,60,0.9906890392303467
1733756281.869767,61,0.9905111789703369
1733756536.4334252,62,0.9908773303031921
1733756790.9025862,63,0.9909610152244568
1733757045.6417515,64,0.9907099604606628
1733757306.315214,65,0.9907518029212952
1733757565.8816586,66,0.990908682346344
1733757820.5868356,67,0.9905739426612854
1733758075.2417006,68,0.9909505844116211
1733758329.7210393,69,0.9909715056419373
1733758588.2561426,70,0.9912434816360474
1733758849.1334903,71,0.99065762758255
1733759112.0167372,72,0.9911283850669861
1733759375.889515,73,0.9908877611160278
1733759639.775389,74,0.9906262159347534
1733759897.793164,75,0.990908682346344
1733760159.5868006,76,0.990730881690979
